source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,gravity_iso_residual,gravity_cscba,gravity_cscba_1vd
Mount Cannindah,1,151.2540926394479,-24.65773838070182,positive,,,,,,253.34219360351562,33.054203,-947.3912
,0,140.9746081587492,-27.71748409332028,blank_area,GA.GeologicProvince.529511,,,,,-195.26036071777344,-269.26843,309.54306
Mount Turner,1,143.38079535726155,-18.239597877337147,positive,,,,,,87.4959716796875,-177.9181,-2322.0793
,0,129.60767370277534,-24.601995332284023,blank_area,GA.GeologicProvince.467262,,,,,-227.0265350341797,-691.3593,-387.70026
Endeavour E-28,1,148.04792950316448,-32.9499061339624,positive,,,,,,90.83709716796875,-193.60501,-2237.2195
,0,122.23053779887069,-27.512611816192173,blank_area,GA.GeologicProvince.576271,,,,,-187.244384765625,-620.3577,171.9212
,0,145.74616707666615,-26.60030986281521,blank_area,GA.GeologicProvince.22077,,,,,-167.29124450683594,-420.33414,-1576.9325
,0,119.0381,-22.53380000000002,other_deposit,,Gudai-Darri K58,mineral deposit,WA,Iron,-309.3697509765625,-784.4855,-2011.2339
Chicane,1,147.4053497644247,-34.22619467961108,positive,,,,,,273.78240966796875,37.51656,2083.5671
,0,114.93550000000002,-29.289799999999964,other_deposit,,Denison Limesand / Cockburn,mineral deposit,WA,"Unspecified/Unknown, Limesand",-324.4871520996094,-350.49622,1220.1019
Boddington,1,116.35896609411614,-32.746825907340266,positive,,,,,,182.1957550048828,-16.291706,390.14954
,0,131.58475682130793,-19.873106831062906,blank_area,GA.GeologicProvince.364771,,,,,-269.5401916503906,-547.11566,-110.89582
Bodangora,1,148.99436956025545,-32.45363594531748,positive,,,,,,206.9134979248047,-170.41399,1849.037
,0,127.23317524944702,-15.151963257492405,blank_area,GA.GeologicProvince.468269,,,,,178.2822265625,-56.98643,-856.627
,0,115.7521,-33.471700000000006,other_deposit,,Yoganup North - Remnant Strand 90/130,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene, Monazite",-702.396484375,-774.28345,-6277.2275
Beaks Mountain,1,147.63432781688593,-19.99413265542663,positive,,,,,,474.0325622558594,387.02454,1731.151
,0,119.734,-32.60839999999995,other_deposit,,Cosmic Boy Gravel Pit 3,mineral deposit,WA,Gravel,-162.8356475830078,-473.87494,2716.1624
,0,134.0287,-30.606299999999965,other_deposit,,WARRIOR,DEPOSIT,SA,"Uranium, Uranium oxide",-322.4505310058594,-447.94275,-1867.9706
Hopetoun,1,147.99646958596077,-32.992625453367374,positive,,,,,,89.32099151611328,-185.34164,-3581.6218
,0,136.56541911616273,-25.34970856340928,blank_area,GA.GeologicProvince.576197,,,,,-212.6167449951172,-310.9623,-2412.9043
Bowen Park,1,148.82544725684988,-33.36409073844264,positive,,,,,,304.2982482910156,-174.88773,1591.4918
,0,138.367,-30.60140000000004,other_deposit,,AROONA,MINE,SA,"Zinc, Lead",82.55650329589844,-96.7882,440.59604
,0,142.3092,-36.6369,other_deposit,,Avon Bank,mineral deposit,VIC,"Ilmenite, Leucoxene, Monazite, Rutile, Xenotime, Zircon",190.3955078125,53.62852,-72.68502
,0,124.01713434226647,-22.51693708183977,blank_area,GA.GeologicProvince.466901,,,,,-145.54913330078125,-429.82217,-1053.2783
,0,134.9832398129295,-25.940781402999303,blank_area,GA.GeologicProvince.529549,,,,,-169.6607208251953,-357.8184,44.76341
,0,129.34441865459954,-23.654290240757163,blank_area,GA.GeologicProvince.22078,,,,,-502.1630859375,-924.5354,-2198.9514
,0,138.5707,-32.825000000000024,other_deposit,,PEKINA NORTH,MINE,SA,"Iron ore, Phosphate",167.24293518066406,-126.108,591.2242
Greens Creek,1,147.50554552978397,-34.31940725439566,positive,,,,,,174.35562133789062,-79.58509,-26.205076
,0,120.94761655439844,-20.26394985828625,blank_area,GA.GeologicProvince.466206,,,,,457.8283996582031,334.7021,1851.5457
Gooleys,1,149.11586070840204,-33.5282801460285,positive,,,,,,263.9781494140625,-298.36383,-2830.3357
,0,134.0417656661536,-20.925940323776828,blank_area,GA.GeologicProvince.468269,,,,,-92.14395141601562,-438.17722,-496.4511
,0,127.5546556843669,-23.657093575093207,blank_area,GA.GeologicProvince.466901,,,,,-160.88140869140625,-525.1806,278.40448
,0,137.6463,-32.22099999999994,other_deposit,,MONUMENT HILL,deposit,SA,"Sand - undifferentiated, Clay",11.016962051391602,-115.85059,827.6037
,0,146.19213376280103,-33.10345308174302,blank_area,GA.GeologicProvince.559178,,,,,-40.199607849121094,-204.80908,-1064.5469
,0,138.75195169582975,-19.98767432030276,blank_area,GA.GeologicProvince.559201,,,,,202.5695037841797,-37.73774,557.78625
,0,138.43955144002675,-28.97198020502167,blank_area,GA.GeologicProvince.529801,,,,,-14.722782135009766,-38.744102,675.8036
,0,115.672,-31.43500000000004,other_deposit,,Military Rd Yanchep / WA Limestone,Mine - Openpit,WA,Limestone,-866.1412963867188,-862.1556,-1369.371
,0,127.53702961630307,-27.55057817984365,blank_area,GA.GeologicProvince.576176,,,,,-309.87432861328125,-651.51666,221.13992
,0,119.9114,-22.05480000000003,other_deposit,,Bonnie East,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",-99.8376693725586,-459.1777,1030.9296
,0,145.57240000000002,-37.37640000000003,other_deposit,,Castella,mineral deposit,VIC,"Granite, Gravel",60.43383026123047,-273.58072,-578.34985
,0,115.02049999999998,-30.032600000000023,other_deposit,,Green Head Limesand /  DBCA,mineral deposit,WA,Limesand,-66.54700469970703,-8.03447,599.9124
,0,142.27536132991972,-24.4074646677623,blank_area,GA.GeologicProvince.20489,,,,,-148.5013885498047,-305.51294,-752.8268
,0,127.86990102816902,-26.02697265820448,blank_area,GA.GeologicProvince.467262,,,,,438.24932861328125,1.6905254,2076.324
Moorilda,1,149.36750878277957,-33.60472944726515,positive,,,,,,264.9986877441406,-334.26312,1092.1301
Beaks Mountain,1,147.6210275215737,-19.98646757746281,positive,,,,,,463.47869873046875,372.14047,1212.7528
,0,138.3609,-30.485499999999973,other_deposit,,STONE HUT WELL,MINE,SA,Manganese,16.912078857421875,-164.3869,1466.9052
,0,117.0627,-21.238400000000013,other_deposit,,Borrow Pit BP81 L47/228,mineral deposit,WA,Gravel,-419.41082763671875,-584.1366,-2475.7815
,0,150.957,-23.876499999999982,other_deposit,,EAST END,OPERATING MINE,QLD,"Limestone, Clay",311.16943359375,210.83528,45.925846
,0,119.9917,-33.4584,other_deposit,,Newdegate-Ravensthorpe Rd Lot 1337 / Main Roads,mineral deposit,WA,Gravel,-252.75392150878906,-455.63513,1717.3994
Kelly,1,119.88408291554056,-21.770680192680867,positive,,,,,,-134.87184143066406,-473.2724,-1651.9823
,0,115.3465,-28.61140000000002,other_deposit,,Tenindewa (70),mineral deposit,WA,"Manganese ore, Manganese",-146.11424255371094,-339.94022,741.9886
Rosevale,1,147.40594427591492,-34.30059540421646,positive,,,,,,260.0277099609375,19.748463,1987.0671
Dogwood,1,147.97302249207206,-37.62357793686485,positive,,,,,,214.82321166992188,-46.790604,1563.1488
,0,128.9389685064458,-30.071406774117,blank_area,GA.GeologicProvince.22115,,,,,-395.8775634765625,-557.8739,75.62259
,0,130.4533959868311,-17.27207681208463,blank_area,GA.GeologicProvince.467208,,,,,31.05936050415039,-207.56021,-1521.744
Brazen,1,148.02026530119397,-32.92432387362264,positive,,,,,,97.75389099121094,-180.79295,-3365.313
Yeppoon,1,150.71277232531773,-23.00565022693108,positive,,,,,,208.2636260986328,179.77327,-186.28198
Cargo,1,148.79775628347102,-33.43620330764771,positive,,,,,,264.7904968261719,-199.76123,-121.31537
,0,137.9905,-30.117599999999992,other_deposit,,WITCHELINA,DEPOSIT,SA,"Magnesite, Magnesia (magnesium oxide)",-179.5402069091797,-283.83563,-1755.4447
,0,117.00860000000002,-27.6533,other_deposit,,Melangata Dimension Stone Environmental Group,mineral deposit,WA,"Unspecified/Unknown, Dimension stone",-51.54985427856445,-398.82193,-105.91675
,0,133.15762462654618,-23.29626700152099,blank_area,GA.GeologicProvince.364771,,,,,502.83306884765625,-64.9154,4412.0093
,0,144.22386364948625,-22.468591649875567,blank_area,GA.GeologicProvince.20489,,,,,103.67489624023438,-106.60508,520.79016
,0,140.6684851326378,-27.434166769082925,blank_area,GA.GeologicProvince.20489,,,,,-100.2072525024414,-159.26254,-269.0639
Mount Darcy,1,143.2558778020305,-18.2493543080407,positive,,,,,,20.163490295410156,-220.73132,-3169.6436
,0,123.0045,-27.251100000000005,other_deposit,,Lake Wells Central Potash / AP,mineral deposit,WA,Potassium,-139.34803771972656,-567.3931,3917.0466
